"Log File",Benchmark,Result,command,commandline,cpuinfo,date,exitcode,expected,maxmem,meminfo,memlimit,mt_all_constr,mt_max_constr,timeout,uname,user,usertime,version,wallclock
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+isync+po.c_ALL_CLAIMS_2015-05-13_194513_mAQAsB.log,2+2W+isync+po,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+isync+po.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 19:45:13 BST 2015",0,valid,29504kb,49448476kb,unlimitedkb,6,"restarts               (6)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.25,5.0,0:00.26
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+isyncs.c_ALL_CLAIMS_2015-05-13_190337_a0o3cu.log,2+2W+isyncs,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+isyncs.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 19:03:37 BST 2015",0,valid,29508kb,49448476kb,unlimitedkb,6,"restarts               (6)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.25,5.0,0:00.27
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+lwsync+isync.c_ALL_CLAIMS_2015-05-13_183959_jgxgSO.log,2+2W+lwsync+isync,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+lwsync+isync.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 18:39:59 BST 2015",0,valid,29484kb,49448476kb,unlimitedkb,6,"restarts               (6)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.25,5.0,0:00.26
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+lwsync+po.c_ALL_CLAIMS_2015-05-13_184709_D488H5.log,2+2W+lwsync+po,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+lwsync+po.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 18:47:09 BST 2015",0,valid,29500kb,49448476kb,unlimitedkb,6,"restarts               (6)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.25,5.0,0:00.26
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+lwsync+rfi-data.c_ALL_CLAIMS_2015-05-13_180338_PhZqSZ.log,2+2W+lwsync+rfi-data,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+lwsync+rfi-data.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 18:03:38 BST 2015",0,valid,29976kb,49448476kb,unlimitedkb,6,"restarts               (6)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.29,5.0,0:00.30
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+lwsync+sync.c_ALL_CLAIMS_2015-05-13_201859_rxWV0K.log,2+2W+lwsync+sync,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+lwsync+sync.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 20:18:59 BST 2015",0,valid,29508kb,49448476kb,unlimitedkb,6,"restarts               (6)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.25,5.0,0:00.27
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+lwsyncs.c_ALL_CLAIMS_2015-05-13_201414_28fSmk.log,2+2W+lwsyncs,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+lwsyncs.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 20:14:14 BST 2015",0,valid,29488kb,49448476kb,unlimitedkb,5,"restarts               (5)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.24,5.0,0:00.26
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+rfi-addrs.c_ALL_CLAIMS_2015-05-13_200244_dvt1TL.log,2+2W+rfi-addrs,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+rfi-addrs.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 20:02:44 BST 2015",0,valid,30540kb,49448476kb,unlimitedkb,8,"restarts               (8)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.43,5.0,0:00.44
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+rfi-datas.c_ALL_CLAIMS_2015-05-13_201303_xLxnZb.log,2+2W+rfi-datas,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+rfi-datas.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 20:13:03 BST 2015",0,valid,30548kb,49448476kb,unlimitedkb,9,"restarts               (9)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.43,5.0,0:00.45
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+sync+isync.c_ALL_CLAIMS_2015-05-13_190435_GL8IsD.log,2+2W+sync+isync,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+sync+isync.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 19:04:35 BST 2015",0,valid,29500kb,49448476kb,unlimitedkb,5,"restarts               (5)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.24,5.0,0:00.26
/nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/results.cbmc.tso/2+2W+sync+lwsync.c_ALL_CLAIMS_2015-05-13_201506_2oceVE.log,2+2W+sync+lwsync,SUCCESSFUL,"cbmc --mm tso","cbmc --mm tso   /nas/narayana/wmm-tc/Benchmarks/cav13/cav13/tso/src/build/2+2W+sync+lwsync.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.947MHz","Wed 13 May 20:15:06 BST 2015",0,valid,29508kb,49448476kb,unlimitedkb,6,"restarts               (6)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.25,5.0,0:00.26
