"Log File",Benchmark,Result,command,commandline,cpuinfo,date,exitcode,expected,maxmem,meminfo,memlimit,mt_all_constr,mt_max_constr,timeout,uname,user,usertime,version,wallclock
/nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/results.cbmc.sc/2+2W+isync+po.c_ALL_CLAIMS_2015-05-13_193027_17gbcC.log,2+2W+isync+po,SUCCESSFUL,"cbmc --mm sc","cbmc --mm sc   /nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/build/2+2W+isync+po.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.777MHz","Wed 13 May 19:30:27 BST 2015",0,valid,28900kb,49448476kb,unlimitedkb,5,"restarts               (5)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.17,5.0,0:00.18
/nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/results.cbmc.sc/2+2W+isyncs.c_ALL_CLAIMS_2015-05-13_185329_3SglZc.log,2+2W+isyncs,SUCCESSFUL,"cbmc --mm sc","cbmc --mm sc   /nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/build/2+2W+isyncs.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.777MHz","Wed 13 May 18:53:29 BST 2015",0,valid,28900kb,49448476kb,unlimitedkb,5,"restarts               (5)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.16,5.0,0:00.18
/nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/results.cbmc.sc/2+2W+lwsync+isync.c_ALL_CLAIMS_2015-05-13_183136_inRXY8.log,2+2W+lwsync+isync,SUCCESSFUL,"cbmc --mm sc","cbmc --mm sc   /nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/build/2+2W+lwsync+isync.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.777MHz","Wed 13 May 18:31:36 BST 2015",0,valid,28900kb,49448476kb,unlimitedkb,5,"restarts               (5)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.18,5.0,0:00.19
/nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/results.cbmc.sc/2+2W+lwsync+po.c_ALL_CLAIMS_2015-05-13_183820_6bmPht.log,2+2W+lwsync+po,SUCCESSFUL,"cbmc --mm sc","cbmc --mm sc   /nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/build/2+2W+lwsync+po.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.777MHz","Wed 13 May 18:38:20 BST 2015",0,valid,28896kb,49448476kb,unlimitedkb,5,"restarts               (5)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.18,5.0,0:00.20
/nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/results.cbmc.sc/2+2W+lwsync+rfi-data.c_ALL_CLAIMS_2015-05-13_175722_naNc5S.log,2+2W+lwsync+rfi-data,SUCCESSFUL,"cbmc --mm sc","cbmc --mm sc   /nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/build/2+2W+lwsync+rfi-data.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.777MHz","Wed 13 May 17:57:22 BST 2015",0,valid,28900kb,49448476kb,unlimitedkb,4,"restarts               (4)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.29,5.0,0:00.34
/nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/results.cbmc.sc/2+2W+lwsync+sync.c_ALL_CLAIMS_2015-05-13_200031_TdIfsl.log,2+2W+lwsync+sync,SUCCESSFUL,"cbmc --mm sc","cbmc --mm sc   /nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/build/2+2W+lwsync+sync.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.777MHz","Wed 13 May 20:00:31 BST 2015",0,valid,28904kb,49448476kb,unlimitedkb,5,"restarts               (5)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.16,5.0,0:00.18
/nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/results.cbmc.sc/2+2W+lwsyncs.c_ALL_CLAIMS_2015-05-13_195617_XMCRHB.log,2+2W+lwsyncs,SUCCESSFUL,"cbmc --mm sc","cbmc --mm sc   /nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/build/2+2W+lwsyncs.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.777MHz","Wed 13 May 19:56:17 BST 2015",0,valid,28888kb,49448476kb,unlimitedkb,5,"restarts               (5)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.17,5.0,0:00.18
/nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/results.cbmc.sc/2+2W+rfi-addrs.c_ALL_CLAIMS_2015-05-13_194606_pNOdg5.log,2+2W+rfi-addrs,SUCCESSFUL,"cbmc --mm sc","cbmc --mm sc   /nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/build/2+2W+rfi-addrs.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.777MHz","Wed 13 May 19:46:06 BST 2015",0,valid,29452kb,49448476kb,unlimitedkb,9,"restarts               (9)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.26,5.0,0:00.27
/nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/results.cbmc.sc/2+2W+rfi-datas.c_ALL_CLAIMS_2015-05-13_195516_luUEQt.log,2+2W+rfi-datas,SUCCESSFUL,"cbmc --mm sc","cbmc --mm sc   /nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/build/2+2W+rfi-datas.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.777MHz","Wed 13 May 19:55:16 BST 2015",0,valid,29440kb,49448476kb,unlimitedkb,9,"restarts               (9)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.26,5.0,0:00.28
/nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/results.cbmc.sc/2+2W+sync+isync.c_ALL_CLAIMS_2015-05-13_185420_vlr1rJ.log,2+2W+sync+isync,SUCCESSFUL,"cbmc --mm sc","cbmc --mm sc   /nas/narayana/wmm-tc/Benchmarks/cav13/tc/sc/src/build/2+2W+sync+isync.c","8x Intel(R) Xeon(R) CPU           X5667  @ 3.07GHz @@3058.777MHz","Wed 13 May 18:54:20 BST 2015",0,valid,28904kb,49448476kb,unlimitedkb,5,"restarts               (5)",60s,"Linux 3.17.4-200.fc20.x86_64",narayana,0.17,5.0,0:00.19
